작가명,작가 영문명,작품명,분류,경로 분류,수집년도,소장 미술관,활동국가,국적
백남준,Nam June Paik,(Title page and colophon),판화,#NAME?,1994,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Fin de Siecle II,조각/미디어,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Untitled,판화,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Untitled,판화,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Untitled,판화,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Untitled,판화,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Untitled,판화,민간기증,1993,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Homage to Schoenberg,판화,민간기부,2008,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,(Untitled),판화,-,1996,휘트니 미술관,"영국, 미국",
백남준,Nam June Paik,Electronic Opera No. 1,미디어아트,공공기금,2011,허버트 존슨 미술관,"영국, 미국",
백남준,Nam June Paik,"Untitled, from the portfolio A New York Collection for Stockholm",판화,민간기증,1976,허버트 존슨 미술관,"영국, 미국",
백남준,Nam June Paik,Sonata,판화,민간기증,2015,허버트 존슨 미술관,"영국, 미국",
백남준,"Nam June Paik, John J. Godfrey",Global Groove,미디어아트,공공기금,2011,허버트 존슨 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1976,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,미디어아트,민간 기증,1992,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Gold Series: Asian Art Museum,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,New Town Seoul 4,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,New Town Seoul 1,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,New Town Seoul 2,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,New Town Seoul 3,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,"A Long, Long Time Ago",판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Landscape,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Desert,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Fireworks II,드로잉,민간 기증,2014,시카고 미술관,"영국, 미국",
백남준,Nam June Paik,Heart of Grass,판화,민간 기증,1998,시카고 미술관,"영국, 미국",
백남준 외,"Nam June Paik, Shigeko Kubota",Merce by Merce by Paik Part Two: Merce and Marcel,미디어,작가기증,1992,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik(Nam June Paik with Shigeko Kubota, Jud Yalkut, Douglas Davis)",Suite 212,미디어,작가기증,1992,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Electronic Yoga,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
백남준 외,"Nam June Paik, Jud Yalkut",Beatles Electroniques,미디어,민간기부,1999,뉴욕현대미술관,"영국, 미국",
